obs_id,Taglft,Tagrt,squirrel_id,grid,experiment,processing,eatPB,lengthTreat,mid,locx,locy,colors,litter_id,litter,nest,n_pups,date,julian_date,year,birth_date,julian_birth_date,age,around,k_out,in_nest,climb_ground,t_return,t_move,m_return,m_move,charges,mock_falls,rattles,bark,observer,nest_type,pups_bled,comments,entered_by
1,D6258,D6259,8727,KL,control,,,NA,A10.,A.0,10.5,Y/B,4182,1,1,4,4/28/08,119,2008,4/27/08,118,1,,n,n,,NA,NA,n,n,0,0,0,,,,n,Mom not present,
2,D6258,D6259,8727,KL,control,,,NA,A10.,A.0,10.5,Y/B,4182,1,2,2,5/22/08,143,2008,4/27/08,118,25,,,y,30,NA,NA,n,n,0,0,0,,,,n,,
3,D6774,D6775,8592,KL,control,,,NA,-612,-6,12,Bk/W,4177,1,1,4,4/15/08,106,2008,4/15/08,106,0,,n,y,86,355,391,y,y,0,0,0,,rwt,,n,,
4,D6784,D6785,10131,KL,control,,,NA,P1,P.0,1,Y/P,4185,1,1,3,4/10/08,101,2008,4/9/08,100,1,,n,y,120,NA,NA,n,n,0,0,0,,rwt,,n,,
5,D6784,D6785,10131,KL,control,,,NA,P1,P.0,1,Y/P,4185,1,2,3,5/5/08,126,2008,4/9/08,100,26,,n,y,175,NA,NA,n,n,2,0,0,,,,n,,
6,D6829,D7044,10137,KL,control,,,NA,-24,-2,4,W/R,4186,1,1,4,4/9/08,100,2008,4/8/08,99,1,,n,y,29,NA,NA,y,n,2,0,0,,,,n,"didn't see mom return to nest, but kicked her out after 7 minutes",
7,D6829,D7044,10137,KL,control,,,NA,-24,-2,4,W/R,4186,1,2,1,5/5/08,126,2008,4/8/08,99,27,,n,y,189,NA,NA,n,n,4,0,4,,,,n,,
8,D6865,D6866,10140,KL,control,,,NA,M.12.,M.5,12.5,B/O,4187,1,1,3,4/10/08,101,2008,4/10/08,101,0,,n,n,20,NA,NA,n,n,0,0,0,,rwt,,n,"mom oos, presence based on telemetry",
9,D6865,D6866,10140,KL,control,,,NA,M.12.,M.5,12.5,B/O,4187,1,2,3,5/5/08,126,2008,4/10/08,101,25,,n,y,57,NA,NA,n,n,1,0,0,,,,n,,
10,D6889,D6890,8733,KL,control,,,NA,C13,C.0,13,Y/O,4184,1,1,3,5/3/08,124,2008,5/2/08,123,1,,,y,85,225,249,y,y,0,0,0,,,,n,,
11,D6889,D6890,8733,KL,control,,,NA,C13,C.0,13,Y/O,4184,1,2,3,5/27/08,148,2008,5/2/08,123,25,,,y,75,220,240,y,y,5,0,0,,,,n,,
12,D6976,D6977,10145,KL,control,,,NA,C.19,C.5,19,G/Y,4188,1,1,4,4/24/08,115,2008,4/24/08,115,0,,y,n,50,165,209,y,y,0,0,1,,,,n,"min dist was 0, no note that mom contacted climber. Will assume notê_",
13,D6976,D6977,10145,KL,control,,,NA,C.19,C.5,19,G/Y,4188,1,2,4,5/18/08,139,2008,4/24/08,115,24,,y,n,45,NA,NA,n,n,2,0,1,,,,n,,
14,D7163,D7164,8330,KL,control,,,NA,J11,J.0,11,R/Y,4172,1,1,3,4/24/08,115,2008,4/24/08,115,0,,,y,45,NA,NA,n,n,0,0,0,,,,n,,
15,D7163,D7164,8330,KL,control,,,NA,J11,J.0,11,R/Y,4172,1,2,3,5/21/08,142,2008,4/24/08,115,27,,,y,30,420,458,y,y,0,0,0,,,,n,,
16,D7637,D7638,8572,KL,control,,,NA,-63,-6,3,R/Bk,4175,1,1,3,4/20/08,111,2008,4/20/08,111,0,,n,y,60,210,270,y,y,0,0,0,,rwt,,n,,
17,D7637,D7638,8572,KL,control,,,NA,-63,-6,3,R/Bk,4175,1,2,2,5/15/08,136,2008,4/20/08,111,25,,n,y,43,149,244,y,y,2,2,0,,,,n,,
18,D8201,D8202,10181,KL,control,,,NA,I2.,I.0,2.5,Y/W,4189,1,1,4,4/14/08,105,2008,4/13/08,104,1,,n,y,40,75,80,y,y,0,0,0,,,,n,,
19,D8201,D8202,10181,KL,control,,,NA,I2.,I.0,2.5,Y/W,4189,1,2,4,5/8/08,129,2008,4/13/08,104,25,,n,y,5,13,35,y,y,6,1,0,,rwt,,n,,
20,D8215,D8216,10182,KL,control,,,NA,M.15,M.5,15,B/Y,4190,1,1,3,4/14/08,105,2008,4/14/08,105,0,,n,y,60,NA,NA,n,n,0,0,0,,,,n,,
21,D8215,D8216,10182,KL,control,,,NA,M.15,M.5,15,B/Y,4191,2,1,4,6/12/08,164,2008,5/31/08,152,12,,n,y,72,NA,NA,n,n,0,0,1,,,,n,,
22,D8215,D8216,10182,KL,control,,,NA,M.15,M.5,15,B/Y,4191,2,2,4,6/25/08,177,2008,5/31/08,152,25,,n,n,29,111,NA,y,n,0,0,1,,,,n,,
23,D8219,D8220,10183,KL,control,,,NA,B2,B.0,2,O/O,4192,1,1,3,4/15/08,106,2008,4/15/08,106,0,,n,y,35,64,NA,y,n,0,0,0,,rwt,,n,,
24,D8259,D9526,10184,KL,control,,,NA,-1.1.,-1.5,1.5,G/R,4193,1,1,4,4/6/08,97,2008,4/5/08,96,1,,n,y,105,NA,NA,n,n,0,0,0,,rwt,,n,,
25,D8914,D9949,8297,KL,control,,,NA,0.2.,0.5,2.5,Bk/B,4171,1,1,3,4/19/08,110,2008,4/18/08,109,1,,n,y,32,173,245,y,y,0,0,0,,rwt,,n,,
26,D8914,D9949,8297,KL,control,,,NA,0.2.,0.5,2.5,Bk/B,4171,1,2,3,5/15/08,136,2008,4/18/08,109,27,,y,n,33,296,311,y,y,2,0,0,,rwt,,n,,
27,D9529,D9530,10265,KL,control,,,NA,O6,O.0,6,B/W,4194,1,1,3,4/17/08,108,2008,4/16/08,107,1,,n,n,15,35,40,y,y,0,0,0,,rwt,,n,,
28,D9529,D9530,10265,KL,control,,,NA,O6,O.0,6,B/W,4194,1,2,3,5/11/08,132,2008,4/16/08,107,25,,n,y,42,50,69,y,y,5,0,0,,rwt,,n,,
29,D9967,D9968,10317,KL,control,,,NA,-49,-4,9,Y/R,4196,1,1,3,4/20/08,111,2008,4/20/08,111,0,,n,n,40,192,NA,y,n,0,0,0,,,,n,,
30,D9967,D9968,10317,KL,control,,,NA,-49,-4,9,Y/R,4196,1,2,3,5/15/08,136,2008,4/20/08,111,25,,n,y,81,30,100,y,y,1,0,0,,,,n,,
31,D9987,D9988,10318,KL,control,,,NA,F1,F.0,1,Y/G,4197,1,1,3,4/19/08,110,2008,4/17/08,108,2,,n,n,90,175,305,y,y,5,0,0,,rwt,,n,,
32,D9987,D9988,10318,KL,control,,,NA,F1,F.0,1,Y/G,4197,1,2,3,5/12/08,133,2008,4/17/08,108,25,,n,y,20,39,65,y,y,14,2,0,,rwt,,n,"mom bit climbers shirt, mom moved pup at 5:45 while climber still in tree",
33,F0308,F0309,10342,KL,control,,,NA,G.1.,G.5,1.5,R/B,4198,1,1,2,5/13/08,134,2008,5/4/08,125,9,,n,y,40,59,NA,y,n,0,0,0,,rwt,,n,,
34,F0308,F0309,10342,KL,control,,,NA,G.1.,G.5,1.5,R/B,4198,1,2,2,5/29/08,150,2008,5/4/08,125,25,,n,y,45,111,320,y,y,3,1,0,,rwt,,n,,
35,F0565,F4756,10375,KL,control,,,NA,L.1,L.5,1,O/G,4200,1,1,3,4/26/08,117,2008,4/26/08,117,0,,,y,60,NA,NA,n,n,0,0,0,,,,n,,
36,F0565,F4756,10375,KL,control,,,NA,L.1,L.5,1,O/G,4200,1,2,2,5/22/08,143,2008,4/26/08,117,26,,n,n,59,51,140,y,y,0,0,0,,,,n,"mom ~20m away barking at times, never close unil putting pups back. Charged a few times then.",
37,F0730,F0731,10391,KL,control,,,NA,-53,-5,3,O/B,4202,1,1,3,5/5/08,126,2008,4/30/08,121,5,,n,y,25,248,280,y,y,0,0,0,,,,n,"min dist was 0, no note that mom contacted climber. Will assume notê_",
38,F0730,F0731,10391,KL,control,,,NA,-53,-5,3,O/B,4202,1,2,3,5/29/08,150,2008,4/30/08,121,29,,n,n,97,192,235,y,y,0,0,1,,rwt,,n,,
39,F0831,F0832,8385,KL,control,,,NA,M14,M.0,14,G/P,4173,1,1,3,4/30/08,121,2008,4/30/08,121,0,,,,60,NA,NA,n,n,1,0,0,,,,n,,
40,F0831,F0832,8385,KL,control,,,NA,M14,M.0,14,G/P,4173,1,2,3,5/25/08,146,2008,4/30/08,121,25,,,n,60,NA,NA,n,n,0,0,0,,rwt,,n,,
41,F0878,F0879,10408,KL,control,,,NA,D3.,D.0,3.5,O/W,4203,1,1,3,4/23/08,114,2008,4/23/08,114,0,,n,n,60,NA,NA,n,n,0,0,0,,,,n,,
42,F0878,F0879,10408,KL,control,,,NA,D3.,D.0,3.5,O/W,4203,1,2,3,5/19/08,140,2008,4/23/08,114,26,,y,n,52,135,165,y,y,2,1,0,,,,n,,
43,F2099,D7227,8576,KL,control,,,NA,"0,15",0,15,G/B,4176,1,1,4,4/17/08,108,2008,4/17/08,108,0,,n,n,30,120,138,y,y,0,0,0,,rwt,,n,,
44,F2500,F2499,10686,KL,control,,,NA,L10,L.0,10,B/Bk,4205,1,1,3,4/15/08,106,2008,4/15/08,106,0,,n,y,50,NA,NA,n,n,0,0,0,,rwt,,n,,
45,F2500,F2499,10686,KL,control,,,NA,L10,L.0,10,B/Bk,4205,1,2,3,5/10/08,131,2008,4/15/08,106,25,,n,y,24,NA,NA,n,n,3,0,0,,rwt,,n,,
46,F2679,F0100,10722,KL,control,,,NA,-215,-2,15,O/Y,4206,1,1,3,5/8/08,129,2008,5/8/08,129,0,,y,n,26,205,225,y,y,0,0,0,,,,n,,
47,F2679,F0100,10722,KL,control,,,NA,-215,-2,15,O/Y,4206,1,2,3,6/3/08,155,2008,5/8/08,129,26,,,y,0,NA,NA,,,0,0,0,,,,n,underground nest,
48,F2810,D7636,8648,KL,control,,,NA,K.17,K.5,17,W/Bk,4179,1,1,4,4/29/08,120,2008,4/29/08,120,0,,,y,13,30,60,y,y,0,0,1,,,,n,,
49,F2810,D7636,8648,KL,control,,,NA,K.17,K.5,17,W/Bk,4180,2,1,3,6/18/08,170,2008,6/15/08,167,3,,n,y,30,NA,NA,n,n,0,0,0,,,,n,,
50,F2810,D7636,8648,KL,control,,,NA,K.17,K.5,17,W/Bk,4180,2,2,3,7/12/08,194,2008,6/15/08,167,27,,n,n,41,124,142,y,y,0,0,2,,bjd,,n,,
51,F2815,F2816,10746,KL,control,,,NA,O10.,O.0,10.5,R/R,4207,1,2,4,5/18/08,139,2008,4/20/08,111,28,,n,n,60,NA,NA,n,n,0,0,0,,,,n,,
52,F2846,F0877,10748,KL,control,,,NA,D.5.,D.5,5.5,W/P,4208,1,1,2,5/6/08,127,2008,5/6/08,127,0,,y,n,80,187,260,y,y,0,0,0,,,,n,"1st climber unsuccessfull, second climb recorded here",
53,F2846,F0877,10748,KL,control,,,NA,D.5.,D.5,5.5,W/P,4208,1,2,2,6/3/08,155,2008,5/6/08,127,28,,n,y,64,181,201,y,y,1,0,2,,,,n,,
54,J2622,J2620,8680,KL,control,,,NA,A8,A.0,8,P/G,4181,1,2,3,5/26/08,147,2008,4/30/08,121,26,,,y,58,9,53,y,y,4,0,0,,,,n,,
55,J2623,J2624,8732,KL,control,,,NA,-711,-7,11,P/R,4183,1,1,2,4/26/08,117,2008,4/26/08,117,0,,,,,NA,NA,,,NA,NA,NA,,,,n,Too fast nest 1 meter off ground,
56,J2623,J2624,8732,KL,control,,,NA,-711,-7,11,P/R,4183,1,2,2,5/21/08,142,2008,4/26/08,117,25,,,y,26,32,186,y,y,2,0,0,,,,n,,
57,D6829,D7044,10137,KL,control,,,NA,-2.4.,-2.5,4.5,O/O,4458,1,1,5,6/11/09,162,2009,6/11/09,162,0,n,n,y,27,NA,NA,n,n,0,0,0,n,,,n,"female remained nearby the entire time, but did not apporach the nest even after the pups were replaced",
58,D6829,D7044,10137,KL,control,,,NA,-2.4.,-2.5,4.5,O/O,4458,1,2,5,7/6/09,187,2009,6/11/09,162,25,y,n,y,30,NA,NA,n,n,0,0,2,n,,,n,"female was not seen during either climb and she did not move the pups after they were replaced, but she approached them while they were processing the pups. She did not make any vocalizations.",
59,D6865,D6866,10140,KL,control,,,NA,M.12.,M.5,12.5,G/R,4459,1,1,4,5/12/09,132,2009,5/9/09,129,3,y,y,y,95,NA,NA,n,n,0,0,0,n,,,n,"female jumped out when nest tapped and took off.  Came back as they were processing pups, but didn't bark or rattle, and took off again",
60,D6976,D6977,10145,KL,control,,,NA,G20.,G.0,20.5,G/P,4460,1,1,4,6/18/09,169,2009,6/15/09,166,3,y,n,y,60,170,183,y,y,0,0,0,y,,,n,behavior data only filled in after the nest was finished.  Climbs were not timed and did not wait to see if female moved pups,
61,D8201,D8202,10181,KL,control,,,NA,I2.,I.0,2.5,R/R,4461,1,1,4,5/14/09,134,2009,5/11/09,131,3,y,n,y,,0,0,,,4,7,0,,,,n,,
62,D8201,D8202,10181,KL,control,,,NA,I2.,I.0,2.5,R/R,4461,1,2,4,6/6/09,157,2009,5/11/09,131,26,y,n,y,102,15,19,y,y,2,1,0,y,,,n,,
63,D8215,D8216,10182,KL,control,,,NA,M.15,M.5,15,W/B,4462,1,1,3,5/30/09,150,2009,5/28/09,148,2,y,,y,20,NA,NA,n,n,0,0,0,n,,,n,,
64,D8215,D8216,10182,KL,control,,,NA,M.15,M.5,15,W/B,4462,1,2,3,6/22/09,173,2009,5/28/09,148,25,y,n,y,63,NA,NA,n,n,0,0,0,n,,,n,,
65,D8219,D8220,10183,KL,control,,,NA,C2.,C.0,2.5,P/Y,4463,1,1,4,5/25/09,145,2009,5/22/09,142,3,y,n,y,15,10,27,y,y,3,1,0,n,,,n,,
66,D8219,D8220,10183,KL,control,,,NA,C2.,C.0,2.5,P/Y,4463,1,2,4,6/19/09,170,2009,5/22/09,142,28,y,n,y,200,239,252,y,y,4,0,0,y,,,n,,
67,D8259,D9526,10184,KL,control,,,NA,-1.1,-1.5,1,R/Y,4464,1,1,3,5/21/09,141,2009,5/21/09,141,0,y,y,n,33,NA,NA,n,n,0,0,0,,,,n,,
68,D8259,D9526,10184,KL,control,,,NA,-1.1,-1.5,1,R/Y,4465,2,1,3,7/6/09,187,2009,7/5/09,186,1,y,y,n,64,NA,NA,n,n,0,0,0,,,,n,"female remained around during first climb, but then disappeared and was not seen again",
69,D8259,D9526,10184,KL,control,,,NA,-1.1,-1.5,1,R/Y,4465,2,2,2,7/30/09,211,2009,7/5/09,186,25,y,y,n,92,NA,NA,n,n,0,0,0,,,,n,,
70,D9529,D9530,10265,KL,control,,,NA,O6,O.0,6,R/W,4466,1,1,3,6/6/09,157,2009,6/3/09,154,3,y,n,y,39,245,310,y,y,0,0,1,y,,,n,,
71,D9529,D9530,10265,KL,control,,,NA,O6,O.0,6,R/W,4466,1,2,3,6/28/09,179,2009,6/3/09,154,25,y,n,n,23,NA,NA,n,n,11,0,1,y,,,n,"also barked while processing, but about halfway through she disappeared and wa not seen or heard again",
72,D9967,D9968,10317,KL,control,,,NA,-310,-3,10,W/R,4468,1,1,4,5/13/09,133,2009,5/11/09,131,2,y,y,n,10,NA,NA,n,n,0,0,0,,,,n,"mom started moving pups; MNK got 2, mom moved 2 to a broom nest, and then moved 1 over to I2_. 3 different climbs! Mom hung around while processing pups. Three times listed at bottom (in sec 488, 778, and 336.  I assumed the 336 was for the last cllimb, and just used that one)",
73,D9967,D9968,10317,KL,control,,,NA,-310,-3,10,W/R,4468,1,2,4,6/11/09,162,2009,5/11/09,131,31,n,n,n,115,NA,NA,n,n,0,0,0,,,,n,,
74,D9987,D9988,10318,KL,control,,,NA,F1,F.0,1,B/W,4469,1,1,2,5/25/09,145,2009,5/15/09,135,10,y,y,n,140,60,65,y,y,7,1,0,,,,n,"""1+"" is actually what is recorded by ""Mock-falls"".  Mom bit MNK.",
75,D9987,D9988,10318,KL,control,,,NA,F1,F.0,1,B/W,4469,1,2,2,6/9/09,160,2009,5/15/09,135,25,y,n,y,19,5,7,y,y,0,0,0,n,,,n,"question mark after 7 under time mom moved pups b/c nobody saw the first pup being moved, but the mom returned for the second one shortly after MNK reached the ground, so she must have moved the first almost immediately",
76,F0308,F0309,10342,KL,control,,,NA,G.1.,G.5,1.5,G/Y,4470,1,1,4,6/15/09,166,2009,6/15/09,166,0,y,y,n,,NA,NA,,,0,0,0,,,,n,no nest 2 because mom dead July 12 :(,
77,F0308,F0309,10342,KL,control,,,NA,G.1.,G.5,1.5,G/Y,4470,1,2,4,7/11/09,192,2009,6/15/09,166,26,y,n,y,117,NA,NA,n,n,1,1,2,y,,,n,,
78,F0563,F0564,10374,KL,control,,,NA,L8,L.0,8,Y/Y,4471,1,2,3,6/9/09,160,2009,5/15/09,135,25,y,n,y,99,398,406,y,y,0,0,0,y,,,n,barked throughout entire process,
79,F0565,F4756,10375,KL,control,,,NA,L.1,L.5,1,B/O,4472,1,1,3,5/20/09,140,2009,5/17/09,137,3,y,y,y,41,NA,NA,n,n,0,0,0,y,,,n,,
80,F0565,F4756,10375,KL,control,,,NA,L.1,L.5,1,B/O,4472,1,2,3,6/11/09,162,2009,5/17/09,137,25,y,n,y,32,168,169,y,y,0,1,0,y,,,n,,
81,F0575,F0576,10377,KL,control,,,NA,G.10.,G.5,10.5,P/P,4473,1,1,3,6/2/09,153,2009,5/31/09,151,2,y,n,y,68,407,433,y,y,0,0,0,y,,,n,,
82,F0575,F0576,10377,KL,control,,,NA,G.10.,G.5,10.5,P/P,4473,1,2,3,6/25/09,176,2009,5/31/09,151,25,y,n,n,51,241,248,y,y,0,0,0,y,,,n,,
83,F0730,F0731,10391,KL,control,,,NA,-63,-6,3,,4474,1,1,4,6/7/09,158,2009,6/7/09,158,0,n,n,n,95,129,184,y,y,0,0,0,,,,n,mom barked while processing pups and hung around (note not specified as belonging to nest 1 or 2),
84,F0730,F0731,10391,KL,control,,,NA,-63,-6,3,,4474,1,2,4,7/4/09,185,2009,6/7/09,158,27,y,n,y,105,205,223,y,y,0,1,1,,,,n,,
85,F0878,F0879,10408,KL,control,,,NA,D3.,D.0,3.5,Y/B,4475,1,1,3,6/2/09,153,2009,5/30/09,150,3,y,n,y,116,NA,NA,n,n,2,1,0,y,,,n,,
86,F1330,F1331,10461,KL,control,,,NA,-414,-4,14,Y/O,4476,1,1,3,6/23/09,174,2009,6/19/09,170,4,y,n,y,38,105,237,y,y,0,0,0,n,,,n,,
