datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 00:00:00,0.36,0.36,18.23,Out,1,0,-0.0594789773525527
03-May-2015 00:01:00,0,0.14,18.59,Nest,0,1,-0.675382735533556
03-May-2015 00:02:00,0.26,1.38,18.71,Nest,1,0,-0.230563354625054
03-May-2015 00:03:00,0,0.25,19.08,Nest,0,1,-0.675382735533556
03-May-2015 00:04:00,0,2.57,19.33,Nest,0,1,-0.675382735533556
03-May-2015 00:05:00,0.25,1.51,19.57,Nest,1,0,-0.247671792352304
03-May-2015 00:06:00,0,0.38,19.57,Nest,0,1,-0.675382735533556
03-May-2015 00:07:00,0.31,1.44,19.94,Nest,1,0,-0.145021165988803
03-May-2015 00:08:00,0,0.44,19.94,Nest,0,1,-0.675382735533556
03-May-2015 00:09:00,0,0.26,19.45,Nest,0,1,-0.675382735533556
03-May-2015 00:10:00,0.0600000000000001,0.94,19.08,Nest,0,1,-0.572732109170056
03-May-2015 00:11:00,0.12,0.38,19.08,Nest,0,1,-0.470081482806555
03-May-2015 00:12:00,0.19,0.19,19.45,Nest,0,1,-0.350322418715804
03-May-2015 00:13:00,0.12,0.18,19.57,Nest,0,1,-0.470081482806555
03-May-2015 00:14:00,0.0600000000000001,0.12,19.69,Nest,0,1,-0.572732109170056
03-May-2015 00:15:00,0.0600000000000001,0.12,19.57,Nest,0,1,-0.572732109170056
03-May-2015 00:16:00,0.0599999999999999,0.12,19.57,Nest,0,1,-0.572732109170056
03-May-2015 00:17:00,0.12,1.62,19.81,Nest,0,1,-0.470081482806555
03-May-2015 00:18:00,0,0.07,19.81,Nest,0,1,-0.675382735533556
03-May-2015 00:19:00,0,0.13,19.94,Nest,0,1,-0.675382735533556
03-May-2015 00:20:00,0,0.12,20.18,Nest,0,1,-0.675382735533556
03-May-2015 00:21:00,0.19,0.5,20.3,Nest,0,1,-0.350322418715804
03-May-2015 00:22:00,0,0.0600000000000001,20.3,Nest,0,1,-0.675382735533556
03-May-2015 00:23:00,0.19,1.25,20.3,Nest,0,1,-0.350322418715804
03-May-2015 00:24:00,0,0.32,20.06,Nest,0,1,-0.675382735533556
03-May-2015 00:25:00,0.18,0.32,19.33,Nest,0,1,-0.367430856443055
03-May-2015 00:26:00,0.06,0.12,18.84,Nest,0,1,-0.572732109170056
03-May-2015 00:27:00,0,0.12,18.47,Nest,0,1,-0.675382735533556
03-May-2015 00:28:00,0.19,1.2,17.98,Out,0,1,-0.350322418715804
03-May-2015 00:29:00,0,0.12,18.35,Out,0,1,-0.675382735533556
03-May-2015 00:30:00,0,0.12,18.59,Nest,0,1,-0.675382735533556
03-May-2015 00:31:00,0,0.12,18.96,Nest,0,1,-0.675382735533556
03-May-2015 00:32:00,0,0.12,19.08,Nest,0,1,-0.675382735533556
03-May-2015 00:33:00,0,0.12,19.45,Nest,0,1,-0.675382735533556
03-May-2015 00:34:00,0.0600000000000001,0.13,19.33,Nest,0,1,-0.572732109170056
03-May-2015 00:35:00,0.13,0.55,19.57,Nest,0,1,-0.452973045079305
03-May-2015 00:36:00,0,1.37,19.94,Nest,0,1,-0.675382735533556
03-May-2015 00:37:00,0,0.56,20.42,Nest,0,1,-0.675382735533556
03-May-2015 00:38:00,0.07,0.14,20.67,Nest,0,1,-0.555623671442806
03-May-2015 00:39:00,0,0.21,20.67,Nest,0,1,-0.675382735533556
03-May-2015 00:40:00,0,0.88,20.79,Nest,0,1,-0.675382735533556
03-May-2015 00:41:00,0.06,0.19,20.79,Nest,0,1,-0.572732109170056
03-May-2015 00:42:00,0.07,0.13,20.91,Nest,0,1,-0.555623671442806
03-May-2015 00:43:00,0,0,20.79,Nest,0,1,-0.675382735533556
03-May-2015 00:44:00,0.19,0.7,20.55,Nest,0,1,-0.350322418715804
03-May-2015 00:45:00,0.06,0.14,20.55,Nest,0,1,-0.572732109170056
03-May-2015 00:46:00,0,0.14,20.42,Nest,0,1,-0.675382735533556
03-May-2015 00:47:00,0.07,0.07,20.55,Nest,0,1,-0.555623671442806
03-May-2015 00:48:00,0,0.07,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:49:00,0,0.07,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:50:00,0.06,0.13,20.55,Nest,0,1,-0.572732109170056
03-May-2015 00:51:00,0,0.13,20.42,Nest,0,1,-0.675382735533556
03-May-2015 00:52:00,0,0.13,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:53:00,0,0.13,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:54:00,0,0.07,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:55:00,0,0.07,20.42,Nest,0,1,-0.675382735533556
03-May-2015 00:56:00,0.06,0.07,20.42,Nest,0,1,-0.572732109170056
03-May-2015 00:57:00,0,0.69,20.55,Nest,0,1,-0.675382735533556
03-May-2015 00:58:00,0.2,0.32,20.67,Nest,0,1,-0.333213980988554
03-May-2015 00:59:00,0.12,0.26,20.55,Nest,0,1,-0.470081482806555
03-May-2015 01:00:00,0,0.26,20.55,Nest,0,1,-0.675382735533556
03-May-2015 01:01:00,0.19,0.43,20.67,Nest,0,1,-0.350322418715804
03-May-2015 01:02:00,0,0.81,20.91,Nest,0,1,-0.675382735533556
03-May-2015 01:03:00,0,0.13,20.67,Nest,0,1,-0.675382735533556
03-May-2015 01:04:00,1.5,1.56,20.79,Nest,1,0,1.89088292355396
03-May-2015 01:05:00,0.68,1.38,20.79,Nest,1,0,0.487991029919451
03-May-2015 01:06:00,0.44,2.07,20.55,Nest,1,0,0.0773885244654482
03-May-2015 01:07:00,0.06,0.62,20.42,Nest,0,1,-0.572732109170056
03-May-2015 01:08:00,0.07,1.06,20.55,Nest,0,1,-0.555623671442806
03-May-2015 01:09:00,0.07,0.58,20.67,Nest,0,1,-0.555623671442806
03-May-2015 01:10:00,0,0.18,20.67,Nest,0,1,-0.675382735533556
03-May-2015 01:11:00,0.06,1.32,20.91,Nest,0,1,-0.572732109170056
03-May-2015 01:12:00,0,0.19,20.91,Nest,0,1,-0.675382735533556
