id,sex,taglft,tagrt,colours,year,squirrel_id,litter_id,sq_id,observer,observer software,ageclass,cohort,age,grid,trialnumber,trialdate,videodate,trialtime,midden,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,Exclude_unless_video_reanalyzed,Exclude_reason,Proceed_with_caution,Proceed_with_caution_reason,Last_Edited,Comments,...39,...40
1,M,M6791,M6792,B!/W!,2020,25111,9815,NA,DH,BORIS,J,2020,0,BT,1,7/5/20,7/26/21,13:44,L5,192.734,54,4,265.964,76.5,12.002,59,450,0,298.745,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
2,F,M6783,M6784,P/G,2020,25045,9746,NA,DH,BORIS,J,2020,0,BT,1,7/2/20,7/27/21,13:18,I7,101.742,27,2,304.222,104.002,0,42.498,425.142,196.096,97.872,18,48.793,42.041,300,NA,N,NA,N,NA,NA,NA,NA,NA
3,M,M6795,M6796,R!/Bk!,2020,25113,9815,NA,DH,BORIS,J,2020,0,BT,1,6/30/20,7/26/21,13:16,L5,113.682,45,7,163.285,157.989,5.751,16.5,450,0.511,271.613,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
4,F,M6720,M6723,B!/R!,2020,24926,9765,NA,DH,BORIS,J,2020,0,JO,1,6/8/20,6/12/21,12:04,L10,39.019,32,5,339.542,93.333,5.5,28.771,450,248.757,41.991,5,65.075,64.825,300,NA,N,NA,N,NA,NA,NA,NA,NA
5,F,M6728,M6729,B/B,2020,24959,9750,NA,DH,BORIS,J,2020,0,JO,1,6/22/20,7/11/21,13:44,T13,152.415,84,8,167.046,72.031,13.753,14.251,450,212.063,64.166,16,59.562,3.252,300,NA,N,NA,N,NA,NA,NA,NA,NA
7,M,M6746,M6747,B/O,2020,24966,9748,NA,DH,BORIS,J,2020,0,JO,1,6/29/20,6/7/21,12:24,L12.,107.594,105,5,214.554,12,11.25,0,450,206.39,51.014,32,47.78,28.28,300,NA,N,NA,N,NA,NA,NA,NA,NA
8,M,M6780,M6781,B/W,2020,24896,9751,NA,DH,BORIS,J,2020,0,JO,1,6/18/20,7/11/21,12:30,K.6.,110.915,4,7,20.563,9.998,34.524,208.511,413.877,0,299.249,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
10,M,M6759,M6760,G/Y,2020,25067,9783,NA,DH,BORIS,J,2020,0,JO,1,6/14/20,7/10/21,12:13,K3,137.345,13,7,243.053,115.65,13.256,0,450,233.194,60.046,2,23.249,18.5,300,NA,N,NA,N,NA,NA,NA,NA,NA
11,F,M6412,M6450,O!/Bk!,2020,25088,9802,NA,DH,BORIS,J,2020,0,JO,1,7/16/20,7/22/21,13:03,T.1,234.442,28,19,87.619,72.035,16.006,2.001,450,141.607,128.132,3,4.749,3.272,300,NA,N,NA,N,NA,NA,NA,NA,NA
12,M,M6753,M6754,O/R,2020,24985,9758,NA,DH,BORIS,J,2020,0,JO,1,7/1/20,6/16/21,12:05,N.14,195.128,34,8,143.046,40.002,16.751,4.501,449.168,147.55,130.955,2,234.359,35.752,300,NA,N,NA,N,NA,NA,NA,NA,NA
13,F,M6774,M6775,O/W,2020,25008,9774,NA,DH,BORIS,J,2020,0,JO,1,7/6/20,7/21/21,12:05,H.13.,113.858,16,3,212.367,94.777,54.874,45.268,450,0,0,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
14,M,M6744,M6745,O/Y,2020,24965,9748,NA,DH,BORIS,J,2020,0,JO,1,6/30/20,6/10/21,11:39,L13.,62.292,14,8,331.515,53.521,10,181.129,445.19,93.816,25.893,1,248.234,204.707,300,NA,N,NA,N,NA,NA,NA,NA,NA
15,F,M6751,M6752,P!/Y!,2020,24984,9758,NA,DH,BORIS,J,2020,0,JO,1,6/24/20,6/20/21,10:23,L.12.,82.287,57,7,206.418,21.498,11.285,21.272,450,293.751,5.748,3,71.021,0.5,300,NA,N,NA,N,NA,NA,NA,NA,NA
17,F,M6765,M6766,R!/P!,2020,25070,9783,NA,DH,BORIS,J,2020,0,JO,1,6/22/20,7/25/21,12:33,J3.,82.044,32,5,325.848,27.271,9.751,153.009,450,299.748,0,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
18,F,M6972,M7499,R!/R!,2020,24889,9699,NA,DH,BORIS,J,2020,0,JO,1,6/16/20,11/18/21,10:31,L.3,215.345,24,25,95.538,101.19,8.767,36.471,450,300,0,0,300,1.751,300,NA,N,NA,N,NA,NA,NA,NA,NA
19,F,M4314,M4388,R!/Y!,2020,25089,9802,NA,DH,BORIS,J,2020,0,JO,1,7/13/20,7/21/21,11:50,T.1,0,0,0,450,65.64,0,240.018,450,300,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
20,M,M6721,M6722,R/G,2020,24927,9765,NA,DH,BORIS,J,2020,0,JO,1,6/12/20,6/12/21,13:40,L10,129.662,48,8,205.878,72.761,11.501,5.505,450,253.55,29.625,40,22.256,6.506,300,NA,N,NA,N,NA,NA,NA,NA,NA
21,F,M6707,M6708,W!/R!,2020,25020,9775,NA,DH,BORIS,J,2020,0,JO,1,6/8/20,6/13/21,14:21,P15.,108.091,50,10,216.8,27.586,14.5,17.999,450,205.225,70.509,41,3.752,0.251,300,NA,N,NA,N,NA,NA,NA,NA,NA
22,M,M6713,M6714,Y/B,2020,25022,9775,NA,DH,BORIS,J,2020,0,JO,1,6/14/20,6/17/21,13:06,P15.,42.613,26,7,316.303,61.757,23.513,143.989,450,299.749,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
23,F,M6776,M6777,Y/O,2020,24897,9751,NA,DH,BORIS,J,2020,0,JO,1,6/12/20,7/6/21,11:38,K.8.,29.778,7,5,174.395,67.512,93.799,116.789,449.916,300,0,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
